ptype,adapter,human_readable_profile,layer,target_module,matrix_rows,matrix_columns,rank,lora_alpha,scale,a_norm,b_norm,effective_update_frobenius_norm,effective_update_spectral_norm,spectral_to_frobenius_ratio
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,q_proj,4096,4096,16,32.0,2.0,3.234755755864314,1.8744562373203784,3.27973911783136,1.645123905283968,0.501602062292004
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,up_proj,14336,4096,16,32.0,2.0,3.3449915602104574,3.881871603339692,7.39261875220891,4.889380106131399,0.6613867521127685
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,v_proj,1024,4096,16,32.0,2.0,3.220144430209067,0.8221973117883495,1.6244453717553253,1.1582576157180615,0.7130172770700711
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,6,down_proj,4096,14336,16,32.0,2.0,5.263009139012968,2.0199885346421866,6.391728887607862,4.416797255345475,0.6910176155795126
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,6,gate_proj,14336,4096,16,32.0,2.0,3.55816733023356,4.201230099415642,9.348273003976814,6.978308362915989,0.7464810195366965
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,6,k_proj,1024,4096,16,32.0,2.0,3.3213529632597916,0.9491398537734711,1.799138668052545,0.9339171950396404,0.5190912805240007
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,6,o_proj,4096,4096,16,32.0,2.0,3.1735760455023603,1.9699195594461316,3.3672000820470624,1.733375902539108,0.5147825672079801
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,6,q_proj,4096,4096,16,32.0,2.0,3.255461545897468,1.9279871102937791,3.349422590836712,1.6037904121610562,0.4788259375059678
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,6,up_proj,14336,4096,16,32.0,2.0,3.3081423660517357,3.9154691466499414,7.04045186984109,4.07530433912926,0.57884130372178
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,6,v_proj,1024,4096,16,32.0,2.0,3.259213385552744,0.8197298552102242,1.5499163858489005,0.9133811433245993,0.5893099470810058
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,7,down_proj,4096,14336,16,32.0,2.0,5.214280208361836,1.9848220976430055,6.303366787774579,4.219253788872489,0.6693651077160477
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,7,gate_proj,14336,4096,16,32.0,2.0,3.5597873347674027,4.298223790931793,9.110990449686463,6.4521148075621975,0.7081683207981229
