ptype,profile,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4.7808730014182625,-5.999048049492357,6.622899632092907,-9.179764562067575,31.810815781752275,-74.1319806105503,7.662604043106721,-6.9958437435564775,3.767384605592963,-1.8120400230367526
14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,3.3363505805626246,-3.7431052145042716,3.4293968443069276,-3.2242933960425613,1.7039283981117836,3.3311831867671833,-2.5813846219133585,3.9214243654596763,-3.9990205270091317,3.402353412246388
15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,2.809530925988647,-3.032015930422197,2.5882717991039197,-2.499280404289102,1.1603373067830567,2.340432974491657,-1.6067694100479508,2.4333324530320324,-2.234706144572393,1.5998459776442078
16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3.135806706568141,-3.476100417204022,3.0795899418275408,-2.9551859854796194,1.3649768069162729,2.6048706795687258,-2.0428079983891885,3.080318380098897,-3.0724918365552916,2.3605993233502653
17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,4.37987185560103,-5.358484720141483,5.616120299277335,-6.711865277653856,7.120099290318127,18.47224149202935,71.42202530768644,-19.313966589650672,6.354971394332284,-2.468603339326889
18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,2.7542318312152636,-2.9617411959247213,2.5030936072529393,-2.4472675764722744,1.1491768552725548,2.2701104911155916,-1.5947423454307612,2.3659480733748213,-2.1676242698220807,1.5365748002360045
19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,2.8737126784538916,-3.1141254632153386,2.680729725477873,-2.5798780658989457,1.1961608702388216,2.4528259577918647,-1.6344048533452458,2.578359258385388,-2.414537964024329,1.7006356831633755
20,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,3.151676781787461,-3.5018629934552723,3.0919571942302015,-3.0223991923680735,1.3874043190377523,2.7301304735893224,-2.1947666228309375,3.2311737202136737,-3.2313333766312073,2.5361051085682917
21,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,2.89892171980599,-3.139421333824303,2.670846478187514,-2.6520551638402408,1.2873269629540902,2.447077411746421,-1.6140685203340421,2.4875829618624508,-2.3616489169888575,1.6977665096146273
22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,2.7275800389257716,-2.9140773774547837,2.4491088177006874,-2.4484915509672267,1.1495979852952989,2.264086448091729,-1.5951461267073757,2.3760840513241264,-2.191624466404524,1.5252639406084805
23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,2.596681784179688,-2.7460993274648526,2.2512482173999313,-2.3624315519209205,1.0990164593081067,2.1939203692309555,-1.5139489665261912,2.248116264632709,-2.0868671604593887,1.435478910084965
24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,4.235765795649424,-5.055742371325084,5.37304873580776,-5.906975819102184,5.390826316366653,11.89861744762497,-27.95727911339907,-67.09379168750262,10.222368535483117,-3.5584842909494743
25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,7.713300845980992,-13.63628228919171,-104.41946155209446,7.863342595331994,-1.5933883901058572,-2.6718686511800267,1.4022484260249435,-1.8892479199310073,1.3814726457262467,-0.7632571315582857
26,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,3.4201439660011896,-3.8169903952201047,3.5316232907264054,-3.3833080880033806,1.8494962662428645,3.6193652839529604,-2.7924561253596405,4.412930704650205,-4.5723876051735965,4.176286555828121
27,Openness high; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,2.96101370455551,-3.2365422009590663,2.810943781037285,-2.6532536039099157,1.19450846415947,2.522642340833321,-1.8201615210179392,2.6970567531497367,-2.5391237815703565,1.9009163898646393
28,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,3.457029221023434,-3.967565842431047,3.782186928911991,-3.5617784970206614,2.1148199366469385,3.9838608333805055,-3.190222407911232,4.530939389977429,-5.023301132605224,5.488201404522492
29,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,3.4069597931456626,-3.870474574763384,3.5126622370964755,-3.444604088267984,1.7866647120088326,3.680013917262463,-2.7553409763344807,4.383237251550986,-4.501104336430599,4.273045997468644
