ptype,profile,neighbor_rank,neighbor_ptype,neighbor_profile,distance,cosine
15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,26.60482723680729,0.0365542315061266
15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,32.7145426315801,0.030500896360327042
15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,33.56051504087015,0.03390258509475316
15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,5,5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,39.70331743199605,0.030161332357285194
16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,46.402648308756305,0.018428005947459494
16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,46.41051113291123,0.018309298131324297
16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,50.108120097385516,0.019956824587913397
16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,50.61368017842587,0.02430618281060993
16,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,52.809000986169835,0.0244915355985573
17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,80.05648826816007,0.013842916316463737
17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,80.06211486060083,0.01336363842605192
17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,82.21654690040295,0.014320471080977004
17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,82.50790150837976,0.017495730473751518
17,Openness high; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,83.82044498497297,0.01902024055622829
18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,21.67786299752792,0.03513584071924161
18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,21.700844371384814,0.03331837675699304
18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,28.956675338873342,0.029484015608003317
18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,4,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,33.56051504087015,0.03390258509475316
18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,5,5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,36.70362489265703,0.02986248852655279
19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,1,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,32.5719002757423,0.028276732791941334
19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,2,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,32.58445414921914,0.021659727496957087
19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,37.71353412342886,0.025406445823996617
19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,38.411340800218,0.03025292562961399
19,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,41.30923307888183,0.029037938012622513
20,Openness high; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,47.94003783821184,0.01767571546148459
