layer,target_module,mean_frobenius,median_frobenius,mean_spectral_to_frobenius,median_spectral_to_frobenius
7,gate_proj,6.281773540380629,6.385205231370335,0.7678890508465434,0.7800705265113222
7,k_proj,1.2578612979797799,1.1751404887160013,0.5653514500913231,0.5525729827777134
7,o_proj,2.1778062447900997,2.2368038365478764,0.5722075607776237,0.566045791446449
7,q_proj,2.284492468945392,2.2289929889166946,0.4950352945206866,0.48748946891643335
7,up_proj,4.8188768915300635,4.807323964696644,0.620585783258473,0.6218017217424463
7,v_proj,1.0958202869628941,1.1011791875475196,0.6411905559390111,0.653456614717257
8,down_proj,4.310189906948754,4.390450151407457,0.7455284290183595,0.7531982940176147
8,gate_proj,6.505632985067093,6.610616473940031,0.7482959046393867,0.7619560727463903
8,k_proj,1.3347740488451496,1.2494663734360383,0.5767586224849882,0.5648827947148969
8,o_proj,2.258712349683675,2.3414630098084563,0.5715682473922605,0.552869606785146
8,q_proj,2.35435523978009,2.305229034920055,0.49339329130271165,0.4895386168392856
8,up_proj,4.919525240553916,4.96992168968368,0.5632771884298033,0.5704316306632247
8,v_proj,1.1417101065353272,1.1621379533067924,0.6515010696125867,0.6479629487353944
9,down_proj,4.0999769161168595,4.110782330482916,0.738630028694285,0.743939805566233
9,gate_proj,6.196755698394366,6.180002530388133,0.6624918989651781,0.6613985779376299
9,k_proj,1.4905268002624148,1.4470133199948239,0.7094901475227149,0.7236406579840544
9,o_proj,2.3317207729203187,2.4055454039061335,0.5504211727008373,0.5455179830863375
9,q_proj,2.4354282590720873,2.3549719310610024,0.5267689938465983,0.514104309483054
9,up_proj,4.818551015817945,4.812699592987855,0.48625456770126224,0.48595264153971385
9,v_proj,1.1255718182319663,1.1401834745810953,0.6728127110868894,0.6765418340752565
10,down_proj,4.097132639597411,4.091599999041336,0.7526923471380682,0.7631500013270236
10,gate_proj,5.977898371174997,5.897137055439435,0.6571571814921265,0.6656687547572471
10,k_proj,1.3616394570978714,1.2668305712777683,0.5983575921698936,0.5921800928120462
10,o_proj,2.1898024166813475,2.2115738264813043,0.5212508965168279,0.5131467570782741
10,q_proj,2.47497390701751,2.3660402169319243,0.517478689390835,0.5011444211639756
10,up_proj,4.768425176010922,4.751680824312332,0.5239395377568742,0.520996732746162
10,v_proj,1.0677451589057732,1.0794916505649086,0.559305628975524,0.5469913806183315
11,down_proj,4.044657656519936,4.065061813794889,0.7572634483493768,0.7644342940694997
11,gate_proj,5.970804968928458,5.943472052191053,0.6943277836515764,0.7053938026896618
11,k_proj,1.359402832980961,1.2921905050405376,0.5929039716970087,0.5899123337514451
11,o_proj,2.0660593794128834,2.1010320032334104,0.5696364757184269,0.549493556310032
11,q_proj,2.4004710112191407,2.3606772259235145,0.5146522742502943,0.5089898447030459
11,up_proj,4.731516760557662,4.749550359484056,0.5577614922917778,0.5651293793909928
11,v_proj,1.0746511085243011,1.0721474473740575,0.6059768801414661,0.6041547833639187
12,down_proj,3.8999984166013792,3.8744802364218844,0.7278250164655499,0.7394912087253679
12,gate_proj,5.842754429149351,5.704709952683292,0.6537623731660639,0.640129488240141
12,k_proj,1.323388533863933,1.2596204309679067,0.6005785654161073,0.6058403236928241
12,o_proj,2.091880653381303,2.1446042495008455,0.4628459762077985,0.44438233384797643
12,q_proj,2.303221026604294,2.2448167319909675,0.4986245894975365,0.5003542227469276
12,up_proj,4.72394007839213,4.7065697174098835,0.47395143786216143,0.4640918965272546
