layer,target_module,matrix_shape,aggregate_update_frobenius_norm,mean_profile_update_frobenius_norm,profile_kernel_effective_rank,kernel_top_eigenvalue_fraction
8,k_proj,1024x4096,8.699397033507646,1.334774040965629,19.296324173101834,0.14837350934050958
8,o_proj,4096x4096,14.049636109986613,2.258712331567428,22.658930259538668,0.10906553263953322
8,q_proj,4096x4096,15.126046052189794,2.3543552143982764,20.179534674386204,0.1463468841266798
8,up_proj,14336x4096,31.227524380618267,4.919525210323725,21.136010991123342,0.12860847736964603
8,v_proj,1024x4096,7.150087386737052,1.1417101017772628,21.99221204195262,0.11869978476641894
9,down_proj,4096x14336,26.2903113115324,4.099976898923929,20.69646306691565,0.12994765026836097
9,gate_proj,14336x4096,39.9899663269226,6.196755672494953,19.984042538019388,0.14304661616304867
9,k_proj,1024x4096,9.620862729448438,1.4905267904788222,20.0860803849459,0.1328569425891066
9,o_proj,4096x4096,14.513774280728402,2.331720779415704,22.741964706430355,0.10882913544060964
9,q_proj,4096x4096,15.568049922136522,2.4354282547696076,20.507530322515958,0.14109597749052197
9,up_proj,14336x4096,30.676580708538687,4.818550982183821,20.967025504794556,0.12974052801353647
9,v_proj,1024x4096,7.03255892961301,1.1255718132014862,22.16201355795927,0.11601477544210548
10,down_proj,4096x14336,26.23154182475974,4.097132645678512,20.790972302935305,0.12687208547163045
10,gate_proj,14336x4096,38.61068634166711,5.9778983055930865,19.970734778133664,0.13873677656187727
10,k_proj,1024x4096,8.904498151557245,1.3616394463064065,19.038329709606188,0.15125017447494274
10,o_proj,4096x4096,13.683056393656399,2.1898023950736016,22.263562511925894,0.11554329330072975
10,q_proj,4096x4096,15.98662051491,2.474973876291372,19.82316954472162,0.14741091533586004
10,up_proj,14336x4096,30.319131590825158,4.768425165076385,20.99444093705968,0.12999580669005567
10,v_proj,1024x4096,6.692742442077833,1.0677451516146792,21.931819772982287,0.12112881470961186
11,down_proj,4096x14336,25.88053327937512,4.0446576331319495,20.79729486236003,0.1287068914643082
11,gate_proj,14336x4096,38.42562396719308,5.970804933434226,20.184176421339,0.1401508287333912
11,k_proj,1024x4096,8.85824698723588,1.3594028186252816,19.22504894827942,0.15423780501819837
11,o_proj,4096x4096,12.816638943984815,2.066059367275707,22.719258149019634,0.11095856060400953
11,q_proj,4096x4096,15.424435922985095,2.400471007486505,20.228608256082357,0.14016775189877712
11,up_proj,14336x4096,30.053599237006672,4.731516741849033,21.03808164667895,0.1303182935177576
11,v_proj,1024x4096,6.705038514410571,1.0746510958500446,22.23205661301717,0.11918051890008356
12,down_proj,4096x14336,25.123997780767528,3.8999984023862675,20.293923715247907,0.1345824215617655
12,gate_proj,14336x4096,37.61632854297012,5.84275440068776,20.149157355691067,0.14133065168439873
12,k_proj,1024x4096,8.612523653486862,1.3233885452503473,19.272218183455195,0.15686817334295097
12,o_proj,4096x4096,12.946908366968046,2.091880663553934,23.126495083566418,0.10530196253525126
12,q_proj,4096x4096,14.750094181857236,2.303221021976169,20.48864493264678,0.13760854468613623
12,up_proj,14336x4096,30.174210506902586,4.723940062276563,20.633112594425995,0.1363094537491221
12,v_proj,1024x4096,6.582576818169509,1.0495574437078705,21.924158573729244,0.11913919350421363
13,down_proj,4096x14336,25.169251895038304,3.932576674038698,20.781992782993402,0.1271473644928429
13,gate_proj,14336x4096,37.8349998522561,5.882821981434521,20.232062770174966,0.14367769532375554
