ptype_a,ptype_b,distance
13,27,3.7275184408786206
13,28,3.63486911328895
13,29,3.689481658525537
13,30,3.794108465224923
13,31,3.7415351245377515
14,15,3.6832479504150797
14,16,3.1675633899146955
14,17,3.31668766142418
14,18,3.4903176774670253
14,19,4.391441822007677
14,20,3.1816024945600003
14,21,3.920468787657113
14,22,3.926815868399981
14,23,5.027598862428278
14,24,3.176858053609751
14,25,3.149627541976684
14,26,3.4578475986149244
14,27,3.1086497055228413
14,28,3.0745516096690584
14,29,3.034933068951768
14,30,3.180219932187107
14,31,3.241833635108172
15,16,3.9137844401447537
15,17,4.084704122992757
15,18,4.2698868951955316
15,19,4.886185854830551
15,20,4.0892956140303545
15,21,4.357199834539715
15,22,4.529466864209261
15,23,5.527172427165019
15,24,3.9758970765982586
15,25,4.405321434942796
15,26,4.0486587926205
15,27,3.9070446279346918
15,28,3.8227972218082207
15,29,3.9727202590697437
15,30,4.072464002242064
15,31,4.133679484702104
16,17,3.696437071463293
16,18,3.640011962983687
16,19,4.5820390756146985
16,20,3.4199819731420895
16,21,3.9765749204534253
16,22,4.023870926370844
16,23,5.242903671411304
16,24,3.4186440784887124
16,25,3.6344993862439825
16,26,3.606680579351129
16,27,3.5349907053481773
16,28,3.3584102347988645
16,29,3.4419338335982133
16,30,3.674437892983359
16,31,3.613181429550514
17,18,4.074049235779927
17,19,4.462328590879856
17,20,3.6056403146244076
17,21,4.130902511224902
17,22,4.255233734825281
17,23,5.307108239096699
17,24,3.5048722528546956
17,25,3.6447658115570865
17,26,3.930055525757343
17,27,3.6282106892349293
17,28,3.20686829267694
17,29,3.3846991388759022
17,30,3.4792987289150847
17,31,3.7644483110139615
18,19,4.555640685972941
18,20,3.5840650183629523
18,21,4.119217196291954
18,22,4.005803068464611
18,23,4.861714303706792
18,24,3.9928426154496393
18,25,3.87154144263515
18,26,3.95317429551608
18,27,3.7514608832269896
18,28,3.827029150261838
18,29,3.806303325497803
18,30,3.960250101580694
18,31,4.052147587722888
19,20,4.433049806975465
19,21,4.660605149228107
19,22,4.42240617276076
19,23,5.423993833546864
19,24,4.481125964437659
19,25,4.649686883393579
19,26,4.571879398881074
19,27,4.0470884314628215
19,28,4.233872429246269
19,29,4.427571076413444
19,30,4.426333341950013
19,31,4.584731890310562
20,21,4.085631654051266
20,22,3.9499595228603597
20,23,5.051608275457169
20,24,3.5071573287004765
20,25,3.438027009918226
20,26,3.7151257121844616
20,27,3.4129376365223805
20,28,3.3877941205113586
20,29,3.3817080926787617
20,30,3.474333448303797
20,31,3.607101597612117
21,22,4.207479826197751
21,23,5.130590187476056
21,24,3.8509828372004775
21,25,4.283012156472467
21,26,3.9809349974805497
21,27,3.8158701420724053
21,28,3.867419779108133
21,29,3.824893882780676
21,30,3.9247314723638964
21,31,4.170605182359796
22,23,4.499565492643479
22,24,4.075150962113617
22,25,4.279330686393033
22,26,4.130789177838296
22,27,3.6261465527321843
22,28,3.8846475498148956
22,29,3.9164261773033098
22,30,4.0431962868364115
22,31,3.9616791445612995
23,24,5.250605247205269
23,25,5.020439318735449
23,26,5.335944043690209
23,27,4.672029755476278
23,28,4.971332525269658
23,29,5.038570231294605
23,30,5.245817318457865
23,31,5.059602533100959
24,25,3.448087943706964
24,26,3.3869310605066167
24,27,3.3176130025659667
24,28,3.0603357096730033
24,29,3.2025181544652686
24,30,3.248162868117593
24,31,3.3437760763273894
25,26,3.748128563287954
25,27,3.4565018216000207
25,28,3.535621097437293
25,29,3.2608365475712833
25,30,3.355445445062759
25,31,3.424584335653071
26,27,3.497986444954508
26,28,3.5476551278936785
26,29,3.4750205428269676
26,30,3.56960093141952
26,31,3.7262170247428266
27,28,3.1469118902742945
27,29,3.1116684925299265
27,30,3.318584581582726
27,31,3.2823581671367674
28,29,3.182868061081844
28,30,3.282176434331197
28,31,3.46048409225973
29,30,3.0660376371366085
29,31,3.2150798882189533
30,31,3.417141781256142
