ptype,layer,centroid_norm
7,31,25.082678666666666
8,0,0.12627467166666667
8,1,1.0670904849999998
8,2,1.17529693
8,3,1.3523698
8,4,1.5318185450000001
8,5,1.7067694833333331
8,6,1.8832312666666666
8,7,2.0931408499999997
8,8,2.3163739333333333
8,9,2.43041295
8,10,2.5081534166666666
8,11,2.5605308
8,12,2.8353303166666666
8,13,3.030947283333333
8,14,3.1672984166666667
8,15,3.36654995
8,16,3.9420370333333334
8,17,4.531702933333333
8,18,4.988098966666667
8,19,5.31815795
8,20,5.666067933333333
8,21,6.6417345333333335
8,22,7.259201050000001
8,23,8.1014507
8,24,8.78738765
8,25,9.59704395
8,26,10.515273166666667
8,27,11.535724166666666
8,28,12.444107666666667
8,29,14.507632416666667
8,30,19.103207666666666
8,31,37.9765625
9,0,0.12118683333333334
9,1,0.9086981583333333
9,2,1.0081964783333333
9,3,1.204309155
9,4,1.39008264
9,5,1.5483855333333334
9,6,1.7322917333333334
9,7,2.00643665
9,8,2.2352563333333335
9,9,2.3974416499999998
9,10,2.4966847666666667
9,11,2.597201566666667
9,12,2.916168783333333
9,13,3.119806366666667
9,14,3.231798233333333
9,15,3.439667383333333
9,16,4.01188235
9,17,4.587306433333333
9,18,5.0900449
9,19,5.4184571833333335
9,20,5.80255465
9,21,6.870410266666666
9,22,7.5198088
9,23,8.350986683333334
9,24,9.09851245
9,25,9.90179225
9,26,10.863327583333332
9,27,11.981587333333332
9,28,12.93353825
9,29,14.962692500000001
9,30,19.762809333333333
9,31,41.44514833333333
10,0,0.12527723333333332
10,1,1.2167199233333335
10,2,1.319268775
10,3,1.4954424866666667
10,4,1.6550879250000001
10,5,1.8392788333333332
10,6,1.9671405999999998
10,7,2.1590891500000002
10,8,2.3549271666666667
10,9,2.4989419666666666
10,10,2.611969783333333
10,11,2.6991544333333333
10,12,2.9590651666666665
10,13,3.1478036166666663
10,14,3.345146366666667
10,15,3.5694990166666667
10,16,4.086764016666667
10,17,4.660157483333333
10,18,5.198418716666667
10,19,5.521393499999999
10,20,5.936031066666666
10,21,7.01920745
10,22,7.676019216666667
10,23,8.513424583333334
10,24,9.213386466666668
10,25,10.004546
10,26,10.980577083333335
10,27,12.102104666666667
10,28,13.108031333333335
10,29,15.300724166666667
10,30,20.1038705
10,31,38.57921033333333
11,0,0.13088091100000002
11,1,0.9110048283333333
11,2,1.0158019333333332
11,3,1.1948702933333333
11,4,1.390367715
11,5,1.5254570566666665
11,6,1.6810777333333335
11,7,1.93884305
11,8,2.181192
11,9,2.30333535
11,10,2.3803011666666665
11,11,2.475553383333333
11,12,2.7219705
11,13,2.9966848833333333
11,14,3.122393983333333
11,15,3.3152253
11,16,3.8774270666666664
11,17,4.458931233333334
11,18,4.945092066666667
11,19,5.2520978666666664
11,20,5.638468816666666
11,21,6.613245616666667
11,22,7.2072987
11,23,7.990711916666666
11,24,8.643523933333332
11,25,9.453851883333334
11,26,10.479389333333334
11,27,11.611786833333333
11,28,12.487045
11,29,14.371952
11,30,19.076832333333332
11,31,38.800128666666666
12,0,0.105961659
12,1,1.0459331633333333
12,2,1.1464222733333334
12,3,1.3482217166666668
12,4,1.5266505366666667
12,5,1.6844091600000002
12,6,1.8553431333333332
12,7,2.0821731666666667
12,8,2.2950598666666666
12,9,2.441056966666667
12,10,2.5327060333333336
12,11,2.6092753666666666
12,12,2.84827765
12,13,3.10385465
12,14,3.2556206833333334
12,15,3.4669296166666665
12,16,4.050635616666667
12,17,4.5513168833333335
12,18,5.0566211
12,19,5.3780873
12,20,5.775939116666667
12,21,6.813021666666667
12,22,7.490664783333333
12,23,8.36196405
12,24,9.162620500000001
12,25,9.9403655
12,26,10.969025833333333
12,27,11.958391666666666
12,28,12.916793666666665
12,29,14.892151833333335
12,30,19.045186
12,31,37.330403
13,0,0.10053933500000001
13,1,0.5627633966666666
13,2,0.6685603116666666
13,3,0.8731647666666666
13,4,1.0601335833333334
13,5,1.2387767666666667
13,6,1.42742985
13,7,1.6769450333333333
13,8,1.9492520833333333
13,9,2.0424933666666667
13,10,2.1512303333333334
13,11,2.2192040166666667
13,12,2.5126091
13,13,2.78048885
13,14,2.9291003166666667
13,15,3.0829862
13,16,3.6962043166666665
13,17,4.140864183333333
13,18,4.612307216666667
13,19,4.891995016666667
13,20,5.244586933333333
13,21,6.113657516666667
13,22,6.74734045
13,23,7.4377515
13,24,8.09754415
13,25,8.865002833333333
13,26,9.853593
13,27,10.746470333333335
13,28,11.654369666666668
13,29,13.50923425
13,30,17.555098333333333
13,31,34.48873366666667
14,0,0.11130595466666666
14,1,0.8687077733333334
14,2,0.9669480833333334
14,3,1.1542024433333333
14,4,1.3634418433333335
14,5,1.53734281
14,6,1.7090411833333334
14,7,1.9207320666666667
14,8,2.1910618833333335
14,9,2.30870245
14,10,2.43486995
14,11,2.5078695833333335
14,12,2.8281838666666665
14,13,3.071779333333333
14,14,3.2067950166666663
14,15,3.391038233333333
14,16,3.9829103499999996
14,17,4.515584716666667
14,18,5.02750515
14,19,5.322036983333333
14,20,5.729888016666667
14,21,6.705735316666666
14,22,7.371513
14,23,8.247011933333333
14,24,9.01510585
14,25,9.819277116666667
14,26,10.789842166666666
14,27,11.846546833333333
14,28,12.657581
14,29,14.6728145
14,30,19.075469666666667
14,31,36.948139499999996
15,0,0.096464371
15,1,1.1245940250000002
15,2,1.1969314016666666
15,3,1.3521569400000002
15,4,1.5033908216666667
15,5,1.6507687183333335
15,6,1.7824913733333334
15,7,2.025856895
15,8,2.26777105
15,9,2.4060329166666663
15,10,2.5581777000000003
15,11,2.6603854333333334
15,12,2.890412016666667
15,13,3.1055683833333334
15,14,3.204762216666667
15,15,3.516870733333333
15,16,4.180755016666667
15,17,4.758168516666667
15,18,5.306981816666666
15,19,5.66061175
15,20,6.071480766666666
15,21,7.185520516666667
15,22,7.950195916666666
15,23,8.984481166666667
15,24,9.8192244
15,25,10.653394
15,26,11.7318695
15,27,12.892942333333332
15,28,13.917828666666665
15,29,16.154762666666667
15,30,20.273483166666665
15,31,37.9470555
16,0,0.10310967233333333
16,1,1.0880101583333333
16,2,1.19340417
16,3,1.373917255
16,4,1.5550584716666667
16,5,1.6838242333333333
16,6,1.8280680899999997
16,7,2.0587893333333334
16,8,2.28481925
16,9,2.4359347833333334
16,10,2.5342927333333334
16,11,2.6445257833333335
16,12,2.9082038166666666
16,13,3.0734152
16,14,3.20596815
16,15,3.3681091
16,16,3.9420392
16,17,4.4755128
16,18,4.987858983333333
16,19,5.274801466666667
16,20,5.6579902833333335
16,21,6.63653095
16,22,7.3528514
