ptype_a,ptype_b,distance
11,26,176.32735242298648
11,27,195.70994716765802
11,28,172.59696367163144
11,29,163.6932358238402
11,30,159.40789646864394
11,31,174.0924636063161
12,13,150.28205967273104
12,14,129.68295299034557
12,15,167.89802966893913
12,16,153.12812486555308
12,17,164.65015887613558
12,18,163.15651203388208
12,19,240.14530681018255
12,20,141.9517805595289
12,21,212.64650085235326
12,22,221.3314501684205
12,23,291.0391862942253
12,24,139.32943886570158
12,25,150.44482881217587
12,26,160.15514581741613
12,27,163.07483390989987
12,28,148.32851927698195
12,29,133.73108959576555
12,30,156.4758836679697
12,31,150.14555161103402
13,14,138.67484252670343
13,15,167.64266518776927
13,16,173.6969693341033
13,17,187.7500232339515
13,18,166.0825243792189
13,19,255.95973822906444
13,20,156.9171818509742
13,21,223.61942579253116
13,22,223.85103813610704
13,23,293.3524547598161
13,24,149.58079450324036
13,25,154.532542279671
13,26,156.17763109773955
13,27,174.34545462201584
13,28,160.2345630468278
13,29,156.31389393072666
13,30,170.08470138792472
13,31,159.08424565766202
14,15,150.14692812168428
14,16,160.00056756259684
14,17,164.14150146316408
14,18,160.8239960860534
14,19,267.3725931196943
14,20,141.53765711477385
14,21,223.35142537835748
14,22,226.17072281070367
14,23,300.4894209522188
14,24,137.84385824240283
14,25,139.18846018988015
14,26,153.90175307590755
14,27,166.45758223452103
14,28,151.5768961712674
14,29,133.98928053888523
14,30,152.0555120371686
14,31,148.08874622499445
15,16,184.52208597989105
15,17,198.06510670869048
15,18,190.0431767349891
15,19,283.44962632855226
15,20,177.29935717744786
15,21,239.34427470821174
15,22,246.72147662658926
15,23,310.7963172248913
15,24,172.7567460378608
15,25,178.50930077417823
15,26,175.38870084064442
15,27,196.84799038418691
15,28,183.19516781085906
15,29,170.81088399729114
15,30,190.21366561750156
15,31,182.4466492936629
16,17,208.97884420324365
16,18,163.30718708334823
16,19,246.3575625184325
16,20,167.00120623411237
16,21,213.84842165162726
16,22,247.20194175845415
16,23,300.2194096321043
16,24,160.4134527642868
16,25,192.95874599555876
16,26,184.46081761175535
16,27,191.13469572466622
16,28,173.85586972513957
16,29,162.6830106808728
16,30,188.12578653167975
16,31,181.8941802281173
17,18,206.4055141011792
17,19,281.7707266852089
17,20,177.56218729238245
17,21,251.70403230041475
17,22,226.1970502372576
17,23,314.6165832148005
17,24,179.86931521504957
17,25,158.25424118879218
17,26,196.1608905921552
17,27,195.6609612277185
17,28,176.96297724401109
17,29,177.86468739102165
17,30,184.5952548259182
17,31,186.4406450927901
18,19,233.52369355157873
18,20,155.7300564499811
18,21,184.9057005692798
18,22,224.0105920047204
18,23,267.84176752896656
18,24,165.68271037181398
18,25,187.02814287515434
18,26,178.14115294376506
18,27,180.36829043625983
18,28,163.61849307098493
18,29,163.62173381349018
18,30,173.07621649719917
18,31,177.19154689441712
19,20,237.0373756767707
19,21,213.6393191958916
19,22,223.19241678137624
19,23,243.8843081076042
19,24,243.16004361645068
19,25,271.9802053798641
19,26,256.7785685404192
19,27,205.8532915360208
19,28,219.1287760539041
19,29,247.19381147587174
19,30,247.69796431515238
19,31,249.30616284146626
20,21,203.4690539848887
20,22,201.76356124198048
20,23,271.75135476004317
20,24,149.9848210374605
20,25,152.03505527713216
20,26,156.41770208096327
20,27,153.59057080327298
20,28,144.4414376999021
20,29,147.54529536663733
20,30,148.9731738604249
20,31,157.20534565473235
21,22,232.81164738733239
21,23,225.95096459631338
21,24,198.8956757902446
21,25,231.52236630526548
21,26,219.85398781620503
21,27,201.94654513509224
21,28,187.9367985835878
21,29,203.4041895295503
21,30,204.79508675247408
21,31,217.06292794018728
22,23,212.80819709087726
22,24,221.6944651504
22,25,221.68566305211206
22,26,211.46042017487898
22,27,171.65019431040548
22,28,197.43981780571832
22,29,218.80962354079224
22,30,228.52934169007563
22,31,202.9197139579561
23,24,271.7399423242228
23,25,297.2927272556287
23,26,290.075704710752
23,27,237.56446328705235
23,28,251.35897628950227
23,29,273.3072724892672
23,30,286.0759209877137
23,31,261.413007526511
24,25,153.96674242452423
24,26,158.4206330449765
24,27,162.71141662435835
24,28,139.5098836007956
24,29,139.4364822558457
24,30,152.2986259413598
24,31,147.8458115345795
25,26,158.58702038150173
25,27,170.60894310161754
25,28,161.16672288446094
25,29,154.05518121825187
25,30,146.13703123532767
25,31,155.54676384331535
26,27,167.1572041174072
26,28,165.48859185802326
26,29,161.25738853006493
26,30,168.36880121212727
26,31,164.81894187840217
27,28,145.340738190145
27,29,160.5939123053483
27,30,165.09106521540232
27,31,158.87214016844788
28,29,150.72042244199287
28,30,152.30175273799549
28,31,160.8478745165805
29,30,151.89280695565142
29,31,139.8143129768515
30,31,166.202695552092
