representation,prompt_group,pooling_rule,layer,target,procrustes_disparity,mean_canonical_correlation,leave_profile_out_multivariate_r2,leave_profile_out_O_r2,leave_profile_out_C_r2,leave_profile_out_E_r2,leave_profile_out_A_r2,leave_profile_out_N_r2
activation,ipip_stems,mean_tokens,2,row_weighted_continuous,1.3967216783224237,0.3968641767458562,-0.22627154210635148,-0.2319878208946824,-0.3367871487445382,0.1463918138634691,-0.4546023267689878,-0.2543722279870182
activation,ipip_stems,mean_tokens,2,unique_tuple_weighted_continuous,1.3920325461057088,0.38878240550968063,-0.19347963386687778,-0.1657970157375397,-0.3348978092550168,0.02141138681372401,-0.222777797233928,-0.2653369339216285
activation,ipip_stems,mean_tokens,3,row_weighted_continuous,1.375309624881124,0.41102237735559105,-0.20423045975933912,-0.19877226056211983,-0.38093229582032206,0.14057711553147278,-0.3917580531472087,-0.19026680479851787
activation,ipip_stems,mean_tokens,3,unique_tuple_weighted_continuous,1.3692784638028428,0.40529506696122847,-0.17490418471521083,-0.1414379398758021,-0.3890259829106064,0.012632494291639373,-0.19114301294622216,-0.16554648213506296
activation,ipip_stems,mean_tokens,4,row_weighted_continuous,1.3515095171818081,0.42667169481164996,-0.3592245189489379,-0.3165037672462505,-0.640834768586501,-0.3093279367359081,-0.5398742769898264,0.010418154813796487
activation,ipip_stems,mean_tokens,4,unique_tuple_weighted_continuous,1.3483259666320642,0.41865247804434913,-0.34911737788294267,-0.26787309308167195,-0.548893061171221,-0.6646194298207653,-0.2755268777895523,0.0113255724484973
activation,ipip_stems,mean_tokens,5,row_weighted_continuous,1.3415479543548166,0.42618653921678573,-0.29059703462373426,-0.5672141473611878,-0.4044869016260475,-0.41399678475714463,-0.22815848832970564,0.1608711489554141
activation,ipip_stems,mean_tokens,5,unique_tuple_weighted_continuous,1.3364351788374356,0.4198209090319093,-0.30469833068808205,-0.5049416262517681,-0.31382826291441424,-0.7656611875582915,-0.09068630696550062,0.15162573024956405
activation,ipip_stems,mean_tokens,6,row_weighted_continuous,1.3543733090426975,0.39204245523021275,-0.381718704787356,-0.5482299295930018,-0.5414283637790454,-0.38839822573273963,-0.40644202268066776,-0.02409498215132544
activation,ipip_stems,mean_tokens,6,unique_tuple_weighted_continuous,1.3521508774922766,0.384931266241961,-0.37148026383163246,-0.5072010221509882,-0.49451854144205254,-0.6848519747655837,-0.19701489837900588,0.026185117579467954
activation,ipip_stems,mean_tokens,7,row_weighted_continuous,1.3193896297353964,0.4045811694198468,-0.4911112643805988,-0.7181393179501314,-0.5351549118656134,-0.31848660367990833,-0.6632146758189545,-0.22056081258838667
activation,ipip_stems,mean_tokens,7,unique_tuple_weighted_continuous,1.3166708524625765,0.4004772502457433,-0.48267689388770485,-0.7691397601723191,-0.5326169833767018,-0.547546073494088,-0.39946470673660683,-0.1646169456588087
activation,ipip_stems,mean_tokens,8,row_weighted_continuous,1.319833332617629,0.3927607645939991,-0.32210397398653007,-0.4071638873528769,-0.21241185986815458,-0.04676357595844971,-0.11771384556502817,-0.826466701188141
