representation,prompt_group,pooling_rule,layer,factorial_model,exposure_covariates_added,profile_disjoint_folds,reconstruction_rmse,explained_variance
activation,ipip_stems,final_token,19,main_plus_two_way,False,8,0.0696186710746528,-1.157454698288272
activation,ipip_stems,final_token,19,main_plus_two_way,True,8,0.08923191373118895,-2.5443013645951558
activation,ipip_stems,final_token,19,through_third_order,False,8,0.14548754207342904,-8.421972687661075
activation,ipip_stems,final_token,19,through_third_order,True,8,0.3955437972762221,-68.64330685293741
activation,ipip_stems,final_token,20,main_effects,False,8,0.05777221104933892,-0.21117598241199653
activation,ipip_stems,final_token,20,main_effects,True,8,0.06442518376126044,-0.5061929272255414
activation,ipip_stems,final_token,20,main_plus_two_way,False,8,0.07654269168672438,-1.126065954075857
activation,ipip_stems,final_token,20,main_plus_two_way,True,8,0.09848768593780015,-2.519922802215432
activation,ipip_stems,final_token,20,through_third_order,False,8,0.1607756822491146,-8.380154557272443
activation,ipip_stems,final_token,20,through_third_order,True,8,0.4378454119283038,-68.56821790306694
activation,ipip_stems,final_token,21,main_effects,False,8,0.06735270559413328,-0.21174452005849798
activation,ipip_stems,final_token,21,main_effects,True,8,0.07535652679985094,-0.5168502898388034
activation,ipip_stems,final_token,21,main_plus_two_way,False,8,0.08875853119862609,-1.1043655595930262
activation,ipip_stems,final_token,21,main_plus_two_way,True,8,0.11474462340576745,-2.5169456891224877
activation,ipip_stems,final_token,21,through_third_order,False,8,0.1871802266506839,-8.358816013456687
activation,ipip_stems,final_token,21,through_third_order,True,8,0.5130794632028248,-69.31860318003271
activation,ipip_stems,final_token,22,main_effects,False,8,0.07717081810395184,-0.2137491324048939
activation,ipip_stems,final_token,22,main_effects,True,8,0.08638191757273239,-0.5207870478032866
activation,ipip_stems,final_token,22,main_plus_two_way,False,8,0.10063571189522978,-1.064082111907802
activation,ipip_stems,final_token,22,main_plus_two_way,True,8,0.13130658305701273,-2.51395118292833
activation,ipip_stems,final_token,22,through_third_order,False,8,0.2129904146080531,-8.245764807830627
activation,ipip_stems,final_token,22,through_third_order,True,8,0.5812863825995879,-67.8657088520465
activation,ipip_stems,final_token,23,main_effects,False,8,0.08528929868240306,-0.21187136055877787
activation,ipip_stems,final_token,23,main_effects,True,8,0.09620094383073474,-0.541793113124512
activation,ipip_stems,final_token,23,main_plus_two_way,False,8,0.1112481169961471,-1.0618296140947874
activation,ipip_stems,final_token,23,main_plus_two_way,True,8,0.1463018466652203,-2.5658826880605017
activation,ipip_stems,final_token,23,through_third_order,False,8,0.2346236627823802,-8.170880962919199
activation,ipip_stems,final_token,23,through_third_order,True,8,0.6407803883530085,-67.40468671021392
activation,ipip_stems,final_token,24,main_effects,False,8,0.09548941639739837,-0.2179842514548549
activation,ipip_stems,final_token,24,main_effects,True,8,0.10761711628132871,-0.547012759487536
activation,ipip_stems,final_token,24,main_plus_two_way,False,8,0.12422651701523847,-1.0613883277241754
activation,ipip_stems,final_token,24,main_plus_two_way,True,8,0.16392085091886702,-2.589215994650577
activation,ipip_stems,final_token,24,through_third_order,False,8,0.26212088793207194,-8.177712642823819
activation,ipip_stems,final_token,24,through_third_order,True,8,0.7199274112163898,-68.23227676682089
activation,ipip_stems,final_token,25,main_effects,False,8,0.10573961447723965,-0.2230939622412753
activation,ipip_stems,final_token,25,main_effects,True,8,0.11916999413608749,-0.5535248799686647
activation,ipip_stems,final_token,25,main_plus_two_way,False,8,0.13764845823812166,-1.0726552924262172
activation,ipip_stems,final_token,25,main_plus_two_way,True,8,0.18178558245841994,-2.614957943793434
activation,ipip_stems,final_token,25,through_third_order,False,8,0.29069303684472153,-8.243865864777609
activation,ipip_stems,final_token,25,through_third_order,True,8,0.797415775670507,-68.55911110868045
activation,ipip_stems,final_token,26,main_effects,False,8,0.1188789545335478,-0.21974333676354485
activation,ipip_stems,final_token,26,main_effects,True,8,0.13426799213564303,-0.5559781320932873
activation,ipip_stems,final_token,26,main_plus_two_way,False,8,0.15454193539117678,-1.0613474184919713
activation,ipip_stems,final_token,26,main_plus_two_way,True,8,0.20357215832361933,-2.57680498781326
activation,ipip_stems,final_token,26,through_third_order,False,8,0.32699600300872217,-8.22876077433063
activation,ipip_stems,final_token,26,through_third_order,True,8,0.8966695908009593,-68.394233530876
activation,ipip_stems,final_token,27,main_effects,False,8,0.13460276355251355,-0.23198012263448375
activation,ipip_stems,final_token,27,main_effects,True,8,0.15189124215129124,-0.5687770060068396
activation,ipip_stems,final_token,27,main_plus_two_way,False,8,0.17456783761924108,-1.072164419507275
activation,ipip_stems,final_token,27,main_plus_two_way,True,8,0.23121391399486332,-2.635161237037622
activation,ipip_stems,final_token,27,through_third_order,False,8,0.3709270343383972,-8.35562319928854
activation,ipip_stems,final_token,27,through_third_order,True,8,1.019130219321325,-69.62445455055176
activation,ipip_stems,final_token,28,main_effects,False,8,0.15320063422397717,-0.23166071478853367
activation,ipip_stems,final_token,28,main_effects,True,8,0.1731746240022388,-0.5737598801824775
activation,ipip_stems,final_token,28,main_plus_two_way,False,8,0.19893561595514692,-1.0768017869939035
activation,ipip_stems,final_token,28,main_plus_two_way,True,8,0.26426542194671276,-2.664803092954145
activation,ipip_stems,final_token,28,through_third_order,False,8,0.42317301632159826,-8.397360706752709
activation,ipip_stems,final_token,28,through_third_order,True,8,1.1621560104271726,-69.87593940764845
activation,ipip_stems,final_token,29,main_effects,False,8,0.18074193743236447,-0.2248317932346413
activation,ipip_stems,final_token,29,main_effects,True,8,0.20407280365479186,-0.5614527483781062
activation,ipip_stems,final_token,29,main_plus_two_way,False,8,0.23503640055862066,-1.0712324394571069
activation,ipip_stems,final_token,29,main_plus_two_way,True,8,0.3112096164339195,-2.631320663040972
activation,ipip_stems,final_token,29,through_third_order,False,8,0.5034746217210551,-8.504160304320552
activation,ipip_stems,final_token,29,through_third_order,True,8,1.3678056472897884,-69.14672010423267
activation,ipip_stems,final_token,30,main_effects,False,8,0.2265252997245964,-0.2188326984941571
activation,ipip_stems,final_token,30,main_effects,True,8,0.25542081446467174,-0.5496129611796619
activation,ipip_stems,final_token,30,main_plus_two_way,False,8,0.2939418270729586,-1.0522650446532187
activation,ipip_stems,final_token,30,main_plus_two_way,True,8,0.3915267623292745,-2.641108123216417
activation,ipip_stems,final_token,30,through_third_order,False,8,0.6310874683328195,-8.45997050091528
activation,ipip_stems,final_token,30,through_third_order,True,8,1.7141130087576355,-68.78941712842439
activation,ipip_stems,final_token,31,main_effects,False,8,0.3596756644033271,-0.15076801494963044
activation,ipip_stems,final_token,31,main_effects,True,8,0.41496776361826604,-0.5317729427170124
activation,ipip_stems,final_token,31,main_plus_two_way,False,8,0.4537868362541652,-0.8317637499247672
activation,ipip_stems,final_token,31,main_plus_two_way,True,8,0.6302250844633428,-2.5331090614309484
activation,ipip_stems,final_token,31,through_third_order,False,8,0.959721768795101,-7.1932529845341175
activation,ipip_stems,final_token,31,through_third_order,True,8,2.682912127687936,-63.029272973488574
activation,ipip_stems,mean_tokens,0,main_effects,False,8,0.0014779643501140875,-0.26444029303939565
activation,ipip_stems,mean_tokens,0,main_effects,True,8,0.0015826679738190287,-0.44994002340244466
activation,ipip_stems,mean_tokens,0,main_plus_two_way,False,8,0.0019679783152687876,-1.241873105434458
activation,ipip_stems,mean_tokens,0,main_plus_two_way,True,8,0.002580348850775087,-2.854137979386183
activation,ipip_stems,mean_tokens,0,through_third_order,False,8,0.00411002211383507,-8.778195740253025
activation,ipip_stems,mean_tokens,0,through_third_order,True,8,0.011398568561863153,-74.20921248849119
activation,ipip_stems,mean_tokens,1,main_effects,False,8,0.01696835378438961,-0.23673915950974367
activation,ipip_stems,mean_tokens,1,main_effects,True,8,0.016308638875749737,-0.14244190227489284
activation,ipip_stems,mean_tokens,1,main_plus_two_way,False,8,0.022753651524052534,-1.2238264752888388
activation,ipip_stems,mean_tokens,1,main_plus_two_way,True,8,0.02186987028544438,-1.0544288522089191
activation,ipip_stems,mean_tokens,1,through_third_order,False,8,0.05695780373951234,-12.934941855000115
activation,ipip_stems,mean_tokens,1,through_third_order,True,8,0.14613846059262273,-90.733454344267
activation,ipip_stems,mean_tokens,2,main_effects,False,8,0.017228295237050627,-0.23683413267105302
activation,ipip_stems,mean_tokens,2,main_effects,True,8,0.016635801001842986,-0.1532256254153379
activation,ipip_stems,mean_tokens,2,main_plus_two_way,False,8,0.023089125990187004,-1.2214770856590182
activation,ipip_stems,mean_tokens,2,main_plus_two_way,True,8,0.022448276056586548,-1.0998720821815824
activation,ipip_stems,mean_tokens,2,through_third_order,False,8,0.05752701384441334,-12.790198342791921
activation,ipip_stems,mean_tokens,2,through_third_order,True,8,0.1479256201790127,-90.18295202053093
activation,ipip_stems,mean_tokens,3,main_effects,False,8,0.017705900911871846,-0.2333140502243536
activation,ipip_stems,mean_tokens,3,main_effects,True,8,0.017189970249790916,-0.16248637224685103
activation,ipip_stems,mean_tokens,3,main_plus_two_way,False,8,0.023671828130781572,-1.2044548999296363
activation,ipip_stems,mean_tokens,3,main_plus_two_way,True,8,0.02338803766908548,-1.1519153801201067
activation,ipip_stems,mean_tokens,3,through_third_order,False,8,0.058656359323721874,-12.535298183063809
activation,ipip_stems,mean_tokens,3,through_third_order,True,8,0.15099298826466873,-88.69147799949602
activation,ipip_stems,mean_tokens,4,main_effects,False,8,0.018398403541095076,-0.2338361172209691
activation,ipip_stems,mean_tokens,4,main_effects,True,8,0.017972654743420028,-0.1773935750040876
activation,ipip_stems,mean_tokens,4,main_plus_two_way,False,8,0.024515294999135375,-1.1906421802855376
activation,ipip_stems,mean_tokens,4,main_plus_two_way,True,8,0.024744939283689933,-1.2318755959943206
activation,ipip_stems,mean_tokens,4,through_third_order,False,8,0.060282387260264796,-12.245796656428729
activation,ipip_stems,mean_tokens,4,through_third_order,True,8,0.15571635409312212,-87.38237177564184
activation,ipip_stems,mean_tokens,5,main_effects,False,8,0.019012214556688455,-0.23338183829922143
activation,ipip_stems,mean_tokens,5,main_effects,True,8,0.018627034440938585,-0.18391240395747
activation,ipip_stems,mean_tokens,5,main_plus_two_way,False,8,0.025301093953996004,-1.1842921968454068
activation,ipip_stems,mean_tokens,5,main_plus_two_way,True,8,0.025864526242175136,-1.282659804542594
activation,ipip_stems,mean_tokens,5,through_third_order,False,8,0.06178117900539047,-12.024003955997237
activation,ipip_stems,mean_tokens,5,through_third_order,True,8,0.16117994407115702,-87.6449781023637
activation,ipip_stems,mean_tokens,6,main_effects,False,8,0.01986380609298699,-0.23672597784538008
activation,ipip_stems,mean_tokens,6,main_effects,True,8,0.019505272952674853,-0.19248414507642586
