representation,prompt_group,pooling_rule,layer,subset,profiles,pairs,target,pearson_r,spearman_rho
activation,ipip_stems,final_token,2,exposure_quartile_1,8,28,unique_tuple_weighted_continuous,0.059822226936544015,0.05363984674329502
activation,ipip_stems,final_token,2,exposure_quartile_2,8,28,row_weighted_continuous,-0.0184071799583267,0.02353585112205802
activation,ipip_stems,final_token,2,exposure_quartile_2,8,28,unique_tuple_weighted_continuous,-0.056637410352979325,0.008210180623973728
activation,ipip_stems,final_token,2,exposure_quartile_3,8,28,row_weighted_continuous,0.09266286688957524,0.11330049261083742
activation,ipip_stems,final_token,2,exposure_quartile_3,8,28,unique_tuple_weighted_continuous,0.23051122850768854,0.2676518883415435
activation,ipip_stems,final_token,2,exposure_quartile_4,8,28,row_weighted_continuous,-0.002380668677612302,-0.002736726874657909
activation,ipip_stems,final_token,2,exposure_quartile_4,8,28,unique_tuple_weighted_continuous,0.10737422363439193,0.11494252873563218
activation,ipip_stems,final_token,2,pair_row_ratio_le_2_0,32,181,row_weighted_continuous,0.09553085357861836,0.04811284479792766
activation,ipip_stems,final_token,2,pair_row_ratio_le_2_0,32,181,unique_tuple_weighted_continuous,0.1299971096289278,0.11440511606257461
activation,ipip_stems,final_token,2,pair_row_ratio_le_1_5,32,117,row_weighted_continuous,-0.021542392976838003,-0.06551873997812045
activation,ipip_stems,final_token,2,pair_row_ratio_le_1_5,32,117,unique_tuple_weighted_continuous,0.06581830842092047,0.012865470784816195
activation,ipip_stems,final_token,3,all_32,32,496,row_weighted_continuous,0.0772608840786285,0.06949674587112116
activation,ipip_stems,final_token,3,all_32,32,496,unique_tuple_weighted_continuous,0.0552082557713108,0.033655402601336266
activation,ipip_stems,final_token,3,rows_ge_1000,30,435,row_weighted_continuous,0.04616431034711779,0.0370678356758711
activation,ipip_stems,final_token,3,rows_ge_1000,30,435,unique_tuple_weighted_continuous,0.019510520141738704,0.010142039283491049
activation,ipip_stems,final_token,3,rows_ge_10000,30,435,row_weighted_continuous,0.04616431034711779,0.0370678356758711
activation,ipip_stems,final_token,3,rows_ge_10000,30,435,unique_tuple_weighted_continuous,0.019510520141738704,0.010142039283491049
activation,ipip_stems,final_token,3,rows_ge_50000,22,231,row_weighted_continuous,0.0007005595609527477,0.006204365349792636
activation,ipip_stems,final_token,3,rows_ge_50000,22,231,unique_tuple_weighted_continuous,-0.022060046518128606,-0.021677797464903913
activation,ipip_stems,final_token,3,unique_tuples_ge_10,28,378,row_weighted_continuous,0.021755789017925405,0.027451364636334158
activation,ipip_stems,final_token,3,unique_tuples_ge_10,28,378,unique_tuple_weighted_continuous,0.030028324142604087,0.02309726383968946
activation,ipip_stems,final_token,3,unique_tuples_ge_25,24,276,row_weighted_continuous,0.011818248631467673,0.01223041908648564
activation,ipip_stems,final_token,3,unique_tuples_ge_25,24,276,unique_tuple_weighted_continuous,0.0010551438507921448,0.003933163054180163
activation,ipip_stems,final_token,3,exposure_quartile_1,8,28,row_weighted_continuous,-0.10754799024646987,-0.23535851122058019
activation,ipip_stems,final_token,3,exposure_quartile_1,8,28,unique_tuple_weighted_continuous,0.011115189239799966,-0.1510673234811166
activation,ipip_stems,final_token,3,exposure_quartile_2,8,28,row_weighted_continuous,0.15465013200386468,0.1592775041050903
activation,ipip_stems,final_token,3,exposure_quartile_2,8,28,unique_tuple_weighted_continuous,-0.040347030383659235,0.031198686371100168
activation,ipip_stems,final_token,3,exposure_quartile_3,8,28,row_weighted_continuous,-0.05452886595904753,0.0049261083743842365
activation,ipip_stems,final_token,3,exposure_quartile_3,8,28,unique_tuple_weighted_continuous,-0.004595310195782423,-0.031746031746031744
activation,ipip_stems,final_token,3,exposure_quartile_4,8,28,row_weighted_continuous,0.22420591997982664,0.2260536398467433
activation,ipip_stems,final_token,3,exposure_quartile_4,8,28,unique_tuple_weighted_continuous,0.23980570772660573,0.23590585659551178
activation,ipip_stems,final_token,3,pair_row_ratio_le_2_0,32,181,row_weighted_continuous,0.10171095327191572,0.0864671240361848
activation,ipip_stems,final_token,3,pair_row_ratio_le_2_0,32,181,unique_tuple_weighted_continuous,0.07469953506115391,0.0341630744945662
activation,ipip_stems,final_token,3,pair_row_ratio_le_1_5,32,117,row_weighted_continuous,-0.025819141400538977,-0.057628617242877905
activation,ipip_stems,final_token,3,pair_row_ratio_le_1_5,32,117,unique_tuple_weighted_continuous,-0.004221663355193098,-0.1042650122135803
activation,ipip_stems,final_token,4,all_32,32,496,row_weighted_continuous,0.10319082462382169,0.09760449303838671
activation,ipip_stems,final_token,4,all_32,32,496,unique_tuple_weighted_continuous,0.06404432259704049,0.0451240187950774
activation,ipip_stems,final_token,4,rows_ge_1000,30,435,row_weighted_continuous,0.08916632019659052,0.07407487859672243
activation,ipip_stems,final_token,4,rows_ge_1000,30,435,unique_tuple_weighted_continuous,0.0371230004890525,0.028087127535036015
activation,ipip_stems,final_token,4,rows_ge_10000,30,435,row_weighted_continuous,0.08916632019659052,0.07407487859672243
activation,ipip_stems,final_token,4,rows_ge_10000,30,435,unique_tuple_weighted_continuous,0.0371230004890525,0.028087127535036015
activation,ipip_stems,final_token,4,rows_ge_50000,22,231,row_weighted_continuous,0.03148289854363879,0.034075819233240524
activation,ipip_stems,final_token,4,rows_ge_50000,22,231,unique_tuple_weighted_continuous,0.0054653880779216325,0.003554391635351156
activation,ipip_stems,final_token,4,unique_tuples_ge_10,28,378,row_weighted_continuous,0.05865619222213578,0.06233216232306397
activation,ipip_stems,final_token,4,unique_tuples_ge_10,28,378,unique_tuple_weighted_continuous,0.03932844560820586,0.03706873500340882
activation,ipip_stems,final_token,4,unique_tuples_ge_25,24,276,row_weighted_continuous,0.019165020579013405,0.01991295786304419
activation,ipip_stems,final_token,4,unique_tuples_ge_25,24,276,unique_tuple_weighted_continuous,0.022023850757064246,0.020389549235884194
activation,ipip_stems,final_token,4,exposure_quartile_1,8,28,row_weighted_continuous,-0.08425557360066553,-0.1981390257252326
activation,ipip_stems,final_token,4,exposure_quartile_1,8,28,unique_tuple_weighted_continuous,0.054903098425075576,-0.06622879036672139
activation,ipip_stems,final_token,4,exposure_quartile_2,8,28,row_weighted_continuous,0.21376557949167824,0.13081554460864805
activation,ipip_stems,final_token,4,exposure_quartile_2,8,28,unique_tuple_weighted_continuous,0.06446165435388372,0.025177887246852767
activation,ipip_stems,final_token,4,exposure_quartile_3,8,28,row_weighted_continuous,-0.1754329769464246,-0.1647509578544061
activation,ipip_stems,final_token,4,exposure_quartile_3,8,28,unique_tuple_weighted_continuous,-0.07058928062092026,-0.13355227148330595
activation,ipip_stems,final_token,4,exposure_quartile_4,8,28,row_weighted_continuous,0.3620623582489978,0.2818828680897646
activation,ipip_stems,final_token,4,exposure_quartile_4,8,28,unique_tuple_weighted_continuous,0.3653976297966547,0.314176245210728
activation,ipip_stems,final_token,4,pair_row_ratio_le_2_0,32,181,row_weighted_continuous,0.14204975977003573,0.1281100115354259
activation,ipip_stems,final_token,4,pair_row_ratio_le_2_0,32,181,unique_tuple_weighted_continuous,0.12021616539380466,0.08199056928338695
activation,ipip_stems,final_token,4,pair_row_ratio_le_1_5,32,117,row_weighted_continuous,0.0650765801663211,0.03712029252648773
activation,ipip_stems,final_token,4,pair_row_ratio_le_1_5,32,117,unique_tuple_weighted_continuous,0.08759946688517271,-0.005462392662860225
activation,ipip_stems,final_token,5,all_32,32,496,row_weighted_continuous,0.10873305016857598,0.10926989109633362
activation,ipip_stems,final_token,5,all_32,32,496,unique_tuple_weighted_continuous,0.07434889270833485,0.06527817933996943
activation,ipip_stems,final_token,5,rows_ge_1000,30,435,row_weighted_continuous,0.09766168916763185,0.08898805575439143
activation,ipip_stems,final_token,5,rows_ge_1000,30,435,unique_tuple_weighted_continuous,0.06291678971870568,0.05648754914809961
activation,ipip_stems,final_token,5,rows_ge_10000,30,435,row_weighted_continuous,0.09766168916763185,0.08898805575439143
activation,ipip_stems,final_token,5,rows_ge_10000,30,435,unique_tuple_weighted_continuous,0.06291678971870568,0.05648754914809961
activation,ipip_stems,final_token,5,rows_ge_50000,22,231,row_weighted_continuous,0.04981065657852676,0.05136100780778442
