ptype_a,ptype_b,ocean_hamming,row_weighted_centroid_distance,unique_tuple_centroid_distance,row_count_difference,row_count_ratio,retained_token_difference,retained_token_ratio,nominal_step_difference,nominal_step_ratio,weight_distance
3,21,3,106.05406607221506,101.20975627794691,8531,1.3068263559200115,13501,1.010016841886588,267,1.3072497123130034,8.126813526141826
3,22,3,121.22156070659912,103.91626361523012,21260,2.4102819237147597,737007,2.2065803023134363,664,2.406779661016949,6.973994503035467
3,23,2,91.0892096723703,78.98307868619709,35849,74.76337448559671,1324935,58.87005896483949,1120,71.0,6.37331482916246
3,24,4,110.77596777182191,105.89600844039235,84428,3.32359983486996,6467886,5.798740197205879,2638,3.3221830985915495,13.150187419696408
3,25,3,100.68752411312218,92.51053667172839,236714,7.514765377734967,12424573,10.218204818115044,7397,7.511443661971831,18.320861112514272
3,26,3,97.06902186096099,95.13248356503938,46114,2.269134443374157,3326373,3.467946996282914,1441,2.2684859154929575,10.828814164987895
3,27,2,75.21893101671407,71.27046783405574,2123,1.058428512453557,710923,1.5274574686718652,66,1.0580985915492958,8.432494131912202
3,28,5,127.80343954333333,119.50075249528254,41085,2.130727948259254,3268332,3.424884443883873,1284,2.130281690140845,11.206916673373088
3,29,4,113.29637237261048,106.7159518300802,48988,2.348231732489335,2215479,2.6437377117292242,1531,2.347711267605634,10.671411531446132
3,30,4,108.09366052356732,111.99505931557641,53126,2.462116416678134,2839067,3.1063984330368073,1660,2.461267605633803,11.176944057084421
3,31,3,88.07846188965237,87.62458173874177,56843,2.5644144764001653,4707565,4.49269937603407,1776,2.563380281690141,11.543977251872711
4,5,1,50.58655022889851,60.77665446711955,59678,3.258135311033752,3578042,3.784624508143647,1865,3.2578692493946733,10.748153218691728
4,6,1,56.65966720177147,58.80564124271209,7250,1.0919397382570761,449357,1.0924038190653038,226,1.091683569979716,12.89938018272237
4,7,2,80.44830774513913,83.88891393440456,85608,172.90361445783134,4809694,91.27881222313988,2675,168.1875,9.864615055866633
