representation,prompt_group,pooling_rule,layer,target_geometry,pearson_r,spearman_rho,mantel_permutations,mantel_two_sided_p,null_mean,null_sd,mantel_two_sided_q
activation,naturalistic_behavioral,mean_tokens,3,row_weighted_continuous,0.0443652587865936,0.05329110538106449,1000,0.42957042957042957,-0.0009973785433577801,0.056508719542424646,0.5447625000697627
activation,naturalistic_behavioral,mean_tokens,3,unique_tuple_weighted_continuous,0.02092497841278687,0.01793399694353806,1000,0.5934065934065934,-0.0012510138881656535,0.03825822723446771,0.6735164835164835
activation,naturalistic_behavioral,mean_tokens,3,binary_hamming,0.027641334626169602,0.03179404243041711,1000,0.2547452547452547,0.0003168973108811108,0.02578754050970549,0.41305123447980585
activation,naturalistic_behavioral,mean_tokens,4,row_weighted_continuous,0.05422908228828542,0.05709702988212756,1000,0.37462537462537465,0.0004923629236704846,0.05850371410790735,0.5153936972118791
activation,naturalistic_behavioral,mean_tokens,4,unique_tuple_weighted_continuous,0.02838260825466716,0.023950939262161436,1000,0.47652347652347654,-0.0028505036533770798,0.038373939102919405,0.5774243550044262
activation,naturalistic_behavioral,mean_tokens,4,binary_hamming,0.034125078113983895,0.03621506392649348,1000,0.12187812187812187,-0.0009178414050316063,0.023556585091634236,0.2739240957062739
activation,naturalistic_behavioral,mean_tokens,5,row_weighted_continuous,0.07272697325302016,0.08397196473071077,1000,0.22277722277722278,-0.0013036596907471153,0.059026746423011,0.38701859365124675
activation,naturalistic_behavioral,mean_tokens,5,unique_tuple_weighted_continuous,0.0354100122867221,0.03491525890435477,1000,0.3436563436563437,-0.0012036465747293414,0.0375807388875318,0.49899780390185505
activation,naturalistic_behavioral,mean_tokens,5,binary_hamming,0.03837372201130893,0.042941104403589135,1000,0.0899100899100899,-1.1275492916009876e-05,0.022838171212971416,0.21945796139344526
activation,naturalistic_behavioral,mean_tokens,6,row_weighted_continuous,0.0770464878288239,0.08747942198646423,1000,0.18681318681318682,0.0005178998696737879,0.05719526130102307,0.34664790250621313
activation,naturalistic_behavioral,mean_tokens,6,unique_tuple_weighted_continuous,0.03774402192049835,0.038438745867187485,1000,0.3176823176823177,0.0023205838703416934,0.03832153564729582,0.47443346127556657
activation,naturalistic_behavioral,mean_tokens,6,binary_hamming,0.03735507653180972,0.04346396813410788,1000,0.08891108891108891,0.0003512138529142881,0.022279978353591683,0.2178001854260847
activation,naturalistic_behavioral,mean_tokens,7,row_weighted_continuous,0.0813062239862534,0.09039869716834732,1000,0.15484515484515485,0.004806595039195518,0.057838811664809635,0.30301594956767375
activation,naturalistic_behavioral,mean_tokens,7,unique_tuple_weighted_continuous,0.033380076092936056,0.031104613998753028,1000,0.38161838161838163,0.0007646211885271143,0.03763216383819775,0.5197642357642358
activation,naturalistic_behavioral,mean_tokens,7,binary_hamming,0.03297841559674948,0.03970327688925002,1000,0.08591408591408592,-0.00015894226650191304,0.019313517879084342,0.21589480630071037
activation,naturalistic_behavioral,mean_tokens,8,row_weighted_continuous,0.08122349062403436,0.09328778142953519,1000,0.15784215784215785,0.001006360098999811,0.05735612395281085,0.3062407677792293
activation,naturalistic_behavioral,mean_tokens,8,unique_tuple_weighted_continuous,0.03421568075968237,0.03524234360218004,1000,0.3546453546453546,-0.0007171171376610598,0.03624069718695909,0.5000279223881708
activation,naturalistic_behavioral,mean_tokens,8,binary_hamming,0.03126052787599467,0.039329335222822684,1000,0.08291708291708291,0.00016052327686322856,0.018422822799923903,0.21069602039751292
activation,naturalistic_behavioral,mean_tokens,9,row_weighted_continuous,0.07710456095262408,0.08160674703155393,1000,0.18081918081918083,0.0009312830455828407,0.05784304721511226,0.3411021111852137
activation,naturalistic_behavioral,mean_tokens,9,unique_tuple_weighted_continuous,0.03310149175810667,0.033678021206417386,1000,0.3546453546453546,-0.0003352964999241903,0.03450160330739718,0.5000279223881708
activation,naturalistic_behavioral,mean_tokens,9,binary_hamming,0.02865517225897132,0.033338904282090666,1000,0.1088911088911089,0.00031350484094069364,0.01816133191093233,0.25659115970534657
activation,naturalistic_behavioral,mean_tokens,10,row_weighted_continuous,0.0832731173076008,0.08984798330550262,1000,0.15184815184815184,0.0033988194061258478,0.05913988271600671,0.2997350475611345
activation,naturalistic_behavioral,mean_tokens,10,unique_tuple_weighted_continuous,0.037036712776138944,0.04163219787935826,1000,0.2827172827172827,0.0003988142029442161,0.03521375095361545,0.4446431166985439
activation,naturalistic_behavioral,mean_tokens,10,binary_hamming,0.030970456920349176,0.036845937066133476,1000,0.059940059940059943,0.0001989588839996095,0.017035031461136798,0.1652598413732017
activation,naturalistic_behavioral,mean_tokens,11,row_weighted_continuous,0.09844286604012885,0.10534379296305693,1000,0.0989010989010989,-0.0008674263046459878,0.05952875060142073,0.2354952739568124
activation,naturalistic_behavioral,mean_tokens,11,unique_tuple_weighted_continuous,0.03414142120809141,0.04076079153316772,1000,0.33766233766233766,3.483792605649616e-05,0.034986828278876565,0.49239411552045387
activation,naturalistic_behavioral,mean_tokens,11,binary_hamming,0.031264417865791795,0.04174236361296321,1000,0.054945054945054944,-0.00018851360943303202,0.016146362499842637,0.15335074761304268
activation,naturalistic_behavioral,mean_tokens,12,row_weighted_continuous,0.10126318883465682,0.10488630708985093,1000,0.08691308691308691,0.00024835688083174823,0.05899917569313362,0.21601391309420506
activation,naturalistic_behavioral,mean_tokens,12,unique_tuple_weighted_continuous,0.035040790008576246,0.03781240718996285,1000,0.33666333666333664,0.0009034297843704173,0.03708500290023942,0.49239411552045387
activation,naturalistic_behavioral,mean_tokens,12,binary_hamming,0.030918035966153362,0.038369524337222544,1000,0.04295704295704296,-0.0004980146411364715,0.015338759493589251,0.12887112887112886
activation,naturalistic_behavioral,mean_tokens,13,row_weighted_continuous,0.08729657484071954,0.08728903233673792,1000,0.16183816183816183,-0.0002203072100172383,0.06118091018748746,0.3104557414416569
activation,naturalistic_behavioral,mean_tokens,13,unique_tuple_weighted_continuous,0.032492191628715,0.027520646852768612,1000,0.35864135864135865,-0.000536303973684465,0.0360004972789474,0.5035768355355984
activation,naturalistic_behavioral,mean_tokens,13,binary_hamming,0.033153422203367706,0.03572656682614967,1000,0.026973026973026972,0.00022716809947489046,0.015386837814647404,0.08788818836665727
activation,naturalistic_behavioral,mean_tokens,14,row_weighted_continuous,0.07562869705338854,0.07172674364859734,1000,0.2177822177822178,-0.0007166356509960835,0.05982967054536616,0.38521997483036446
activation,naturalistic_behavioral,mean_tokens,14,unique_tuple_weighted_continuous,0.028591212566845218,0.022239497591610268,1000,0.4225774225774226,0.0008893325161550607,0.035770711237825534,0.5411923910985824
activation,naturalistic_behavioral,mean_tokens,14,binary_hamming,0.03251274531342678,0.0350989666989073,1000,0.026973026973026972,-0.00021906392098672655,0.014862374228822849,0.08788818836665727
activation,naturalistic_behavioral,mean_tokens,15,row_weighted_continuous,0.07203636411522932,0.0699804889945735,1000,0.24775224775224775,-0.0008040305165189451,0.06073721375087055,0.40951281727980754
activation,naturalistic_behavioral,mean_tokens,15,unique_tuple_weighted_continuous,0.025330798609043855,0.025205583451835156,1000,0.4595404595404595,-0.0010420894403733736,0.034430735585150085,0.5638685638685639
activation,naturalistic_behavioral,mean_tokens,15,binary_hamming,0.03445652777316037,0.04517166235256271,1000,0.01898101898101898,-1.5105177854184692e-06,0.01465135309058095,0.0659493567656833
activation,naturalistic_behavioral,mean_tokens,16,row_weighted_continuous,0.06539345691380762,0.062418695948909475,1000,0.2867132867132867,-0.0034922756936437717,0.05934115961290293,0.4468003392488519
activation,naturalistic_behavioral,mean_tokens,16,unique_tuple_weighted_continuous,0.020759702244409484,0.020018350572644075,1000,0.5804195804195804,0.000609645449925033,0.035991915768261,0.6643121584298054
activation,naturalistic_behavioral,mean_tokens,16,binary_hamming,0.03142982685438961,0.0406696337996454,1000,0.01998001998001998,-0.000659900472363778,0.013553104684858685,0.06871915962825054
activation,naturalistic_behavioral,mean_tokens,17,row_weighted_continuous,0.05575873630328062,0.052967659328404436,1000,0.34265734265734266,-0.00010411536583270408,0.059491173081554466,0.4986103639949794
