representation,prompt_group,pooling_rule,layer,transformation,interaction_order,energy
activation,ipip_stems,final_token,4,common_pc1_removed,2,0.11194218997672073
activation,ipip_stems,final_token,4,common_pc1_removed,3,0.11045357568882853
activation,ipip_stems,final_token,4,common_pc1_removed,4,0.05434216981324618
activation,ipip_stems,final_token,4,common_pc1_removed,5,0.00969611726875058
activation,ipip_stems,final_token,4,exposure_residualized,0,9.371337663023764e-29
activation,ipip_stems,final_token,4,exposure_residualized,1,0.04404947903460578
activation,ipip_stems,final_token,4,exposure_residualized,2,0.10062736375870764
activation,ipip_stems,final_token,4,exposure_residualized,3,0.09971721468000148
activation,ipip_stems,final_token,4,exposure_residualized,4,0.050854554345860045
activation,ipip_stems,final_token,4,exposure_residualized,5,0.009623042029951175
activation,ipip_stems,final_token,4,profile_centered,0,0.0
activation,ipip_stems,final_token,4,profile_centered,1,0.0790966883148609
activation,ipip_stems,final_token,4,profile_centered,2,0.13229519361783493
activation,ipip_stems,final_token,4,profile_centered,3,0.11985004396246801
activation,ipip_stems,final_token,4,profile_centered,4,0.05879770275606331
activation,ipip_stems,final_token,4,profile_centered,5,0.00991087828256854
activation,ipip_stems,final_token,4,raw,0,1.350362718531986
activation,ipip_stems,final_token,4,raw,1,0.0790966883148609
activation,ipip_stems,final_token,4,raw,2,0.13229519361783493
activation,ipip_stems,final_token,4,raw,3,0.11985004396246801
activation,ipip_stems,final_token,4,raw,4,0.05879770275606331
activation,ipip_stems,final_token,4,raw,5,0.00991087828256854
activation,ipip_stems,final_token,4,unit_norm,0,0.001015120366979828
activation,ipip_stems,final_token,4,unit_norm,1,0.1894806895470645
activation,ipip_stems,final_token,4,unit_norm,2,0.32703120818900533
activation,ipip_stems,final_token,4,unit_norm,3,0.3035353048971814
activation,ipip_stems,final_token,4,unit_norm,4,0.1524359520898932
activation,ipip_stems,final_token,4,unit_norm,5,0.02650172490987581
activation,ipip_stems,final_token,5,common_pc1_removed,0,2.753300321732999e-34
activation,ipip_stems,final_token,5,common_pc1_removed,1,0.08062778347000375
activation,ipip_stems,final_token,5,common_pc1_removed,2,0.15357621680361083
